,index,WPM,Accuracy,Points,Position,Date,Replay/Ghost
0,82,80,97.6,106,1/5,"Jan 30, 2022",
1,81,75,96.2,50,1/4,"Jan 30, 2022",
2,80,75,96.8,41,3/5,"Jan 30, 2022",
3,79,74,97,96,1/5,"Jan 30, 2022",
4,78,87,99,50,2/5,"Jan 30, 2022",
5,77,78,97.3,60,1/5,"Jan 30, 2022",
6,76,81,98.4,54,1/5,"Jan 30, 2022",
7,75,74,98.2,73,3/5,"Jan 30, 2022",
8,74,85,98.5,18,5/5,"Jan 30, 2022",
9,73,72,96.6,64,3/5,"Jan 30, 2022",
10,72,74,97.3,62,2/5,"Jan 30, 2022",
11,71,91,97.7,54,2/4,"Jan 30, 2022",
12,70,83,98,44,1/5,"Jan 30, 2022",
13,69,74,100,43,3/5,"Jan. 26, 2022",
14,68,76,96.9,45,3/5,"Jan. 26, 2022",
15,67,72,96.3,49,2/5,"Jan. 26, 2022",
16,66,74,97.7,59,5/5,"Jan. 26, 2022",
17,65,91,99,53,1/4,"Jan. 26, 2022",
18,64,85,98,60,2/5,"Jan. 26, 2022",
19,63,83,97.4,66,2/5,"Jan. 26, 2022",
20,62,68,97.3,39,2/5,"Jan. 26, 2022",
21,61,75,98,75,4/5,"Jan. 26, 2022",
22,60,79,97.3,50,4/5,"Jan. 26, 2022",
23,59,82,97.7,93,2/5,"Jan. 26, 2022",
24,58,71,95.9,27,3/5,"Jan. 26, 2022",
25,57,73,96.5,40,3/5,"Jan. 26, 2022",
26,56,90,98.6,161,2/5,"Jan. 26, 2022",
27,55,79,97.4,90,2/5,"Jan. 24, 2022",
28,54,80,97.4,69,2/5,"Jan. 24, 2022",
29,53,69,95.9,99,2/4,"Jan. 24, 2022",
30,52,88,98.1,69,1/5,"Jan. 24, 2022",
31,51,83,98,77,1/5,"Jan. 24, 2022",
32,50,80,97.4,61,3/5,"Jan. 24, 2022",
33,49,84,97.8,148,3/5,"Jan. 24, 2022",
34,48,68,97.1,85,5/5,"Jan. 24, 2022",
35,47,81,97.8,70,2/5,"Jan. 24, 2022",
36,46,85,98,89,2/4,"Jan. 24, 2022",
37,45,87,98.7,95,1/5,"Jan. 24, 2022",
38,44,67,95.1,58,4/4,"Jan. 22, 2022",
39,43,74,96.8,43,4/5,"Jan. 22, 2022",
40,42,67,96.6,42,2/5,"Jan. 22, 2022",
41,41,71,97.2,63,2/5,"Jan. 22, 2022",
42,40,74,97.3,87,3/5,"Jan. 22, 2022",
43,39,71,96.7,58,3/4,"Jan. 22, 2022",
44,38,78,97.2,64,1/5,"Jan. 22, 2022",
45,37,77,97.5,87,2/5,"Jan. 22, 2022",
46,36,79,98,63,3/5,"Jan. 22, 2022",
47,35,83,98.3,33,1/5,"Jan. 22, 2022",
48,34,75,96.9,35,4/5,"Jan. 22, 2022",
49,33,71,95.6,49,4/5,"Jan. 22, 2022",
50,32,69,97.8,57,1/5,"Jan. 22, 2022",
51,31,72,97,72,3/5,"Jan. 22, 2022",
52,30,75,96.9,29,2/5,"Jan. 22, 2022",
53,29,77,98.2,92,5/5,"Jan. 22, 2022",
54,28,63,96.5,71,1/5,"Jan. 22, 2022",
55,27,74,97,56,1/5,"Jan. 22, 2022",
56,26,75,96.9,97,1/5,"Jan. 22, 2022",
57,25,77,97.4,40,3/5,"Jan. 22, 2022",
58,24,68,97.6,45,2/5,"Jan. 22, 2022",
59,23,74,96.8,73,1/5,"Jan. 22, 2022",
60,22,66,95.7,82,2/5,"Jan. 22, 2022",
61,21,79,97.4,76,2/5,"Jan. 22, 2022",
62,20,74,97.6,69,1/5,"Jan. 22, 2022",
63,19,55,95.3,33,3/5,"Jan. 22, 2022",
64,18,70,96.3,113,4/5,"Jan. 22, 2022",
65,17,76,96,96,3/5,"Jan. 22, 2022",
66,16,61,95.7,42,1/5,"Jan. 22, 2022",
67,15,71,96.7,159,2/5,"Jan. 22, 2022",
68,14,68,95.9,102,3/4,"Jan. 22, 2022",
69,13,84,98.1,38,3/5,"Jan. 22, 2022",
70,12,66,97.1,62,2/5,"Jan. 22, 2022",
71,11,74,97.1,65,1/5,"Jan. 22, 2022",
72,10,62,95.4,40,2/5,"Jan. 22, 2022",
73,9,71,97.5,26,2/5,"Jan. 22, 2022",
74,8,75,97.7,61,2/5,"Dec. 15, 2021",
75,7,65,95.5,24,2/3,"Dec. 15, 2021",
76,6,64,96.6,33,2/3,"Dec. 7, 2021",
77,5,71,97.2,81,1/5,"Dec. 7, 2021",
78,4,67,96.3,81,4/5,"Dec. 7, 2021",
79,3,73,96.5,70,4/5,"Dec. 7, 2021",
80,2,76,97.6,55,3/4,"Dec. 7, 2021",
81,1,79,98,45,1/5,"Dec. 7, 2021",
,,,,,,,
,,,,,,,
,,75.1707317073,97.2109756098,65.256097561,#DIV/0!,,
